pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,habitable
2.995,2.8,0.2132,0.031,14.3,5348.0,0.94,0.81,0
13.0,112.2,0.407,0.031,3.9,5348.0,0.94,0.81,0
3.74,13.5,0.812,0.03,0.99,5348.0,0.94,0.81,1
17.317905,323.23311,0.05208,0.038,3440.0,6272.0,2.591,1.72,0
1.72,7.42,0.018,0.0,3474.0,5596.0,1.13,0.9,0
2.25,6.1,0.0629,0.231,72.9,4819.0,0.769,0.8,0
2.34302132,14.8,0.117,0.0,26.5,5106.0,0.7827,0.8208,0
15.58051,232.0159,0.04707,0.0,587.098,6091.0,1.19,1.23,0
12.8,1760.76937478,0.768,0.084,3.44,6273.0,1.206,1.2,0
1.745,8.83,0.02012,0.0,1882.94,5978.0,1.1011,1.068,0
1.602,4.74,0.03876,0.0,176.2,4699.0,0.778,0.81,0
1.511,4.36,0.0653,0.062,62.1,4699.0,0.778,0.81,0
1.61,16.17,0.237,0.138,4.72,4699.0,0.778,0.81,0
1.31,7.3,0.1463,0.148,12.38,4699.0,0.778,0.81,0
4.898,17.6,0.06356,0.05,64.2648,5540.0,1.059,1.02,0
9.17,60.5,0.1228,0.115,91.6542,5080.0,2.943,1.212,0
2.0,8.32,0.1162,0.072,16.0,4684.0,0.71,0.67,0
1.87,3.41,0.1646,0.063,7.96,4684.0,0.71,0.67,0
0.75,0.55,0.04298,0.07,117.0,4684.0,0.71,0.67,0
0.818,0.72,0.068,0.07,46.7,4684.0,0.71,0.67,0
1.137,0.77,0.0906,0.07,26.3,4684.0,0.71,0.67,0
2.07506422,4.2,0.071,0.0,70.0,5087.0,0.7984,0.8531,0
2.52,6.89,0.0932,0.3,8.1,3933.0,0.57,0.578,0
2.54535814,8.7,0.076,0.0,461.4,6353.0,1.4182,1.251,0
1.36354953,4.3,0.0443,0.0,1413.5,6353.0,1.4182,1.251,0
1.24,2.14,0.02933,0.039,42.2,3803.0,0.439,0.439,0
1.533,3.09,0.04749,0.038,16.1,3803.0,0.439,0.439,0
16.14096,371.8611,0.0568,0.091,1436.49,6801.0,1.56,1.43,0
12.9,1525.5763536,1.552,0.182,0.76,5966.0,1.27,1.16,1
2.199,18.496,0.1357,0.3307,98.7475,6120.0,1.446,1.26,0
4.23,7.943,0.308,0.1203,29.9535,6120.0,1.446,1.26,0
3.25,5.681,0.411,0.0864,17.3745,6120.0,1.446,1.26,0
1.67,4.97,0.01796,0.0,1650.0,5261.0,0.88,0.837,0
3.0,11.13,0.1776,0.06,16.9,5261.0,0.88,0.837,0
1.92,4.33,0.0763,0.12,88.9,5261.0,0.88,0.837,0
9.07303305,74.1,0.145,0.0,98.09,6128.0,1.266,1.1642,0
2.54,11.32,0.25,0.153,11.3814,5666.0,0.897,0.94,0
3.89,14.4,0.554,0.19,3.16,5727.0,0.999,1.015,0
3.41,9.1,0.111,0.0,74.7,5289.0,0.98,0.901,0
2.06,4.88,0.0652,0.055,138.85,4593.0,0.679,0.686,0
2.6,7.27,0.1951,0.55,15.5,4593.0,0.679,0.686,0
3.24,10.59,0.4894,0.055,2.46,4593.0,0.679,0.686,0
2.45,7.8,0.1202,0.08,132.0,6203.0,1.194,1.126,0
3.71,13.3,0.229,0.68,257.066,8500.0,1.751,1.89,0
2.42763557,10.0,0.06,0.0,339.1,5934.0,1.0072,1.0269,0
12.1,5965.63919939,6.15,0.607,0.072,6255.0,1.401,1.157,0
2.16351593,37.3,0.072,0.0,145.5707,5634.0,0.9169,0.9883,0
2.58229101,17.2,0.146,0.0,35.3582,5634.0,0.9169,0.9883,0
